id,x,y,h,dom_radius,surface,volume,crown_wkt
1,379893.88,6573607.31,27.50,11.00,1024.0,24430.4,"POLYGON((379923.3 6573595.5,379922.9 6573598.0,379921.8 6573600.3,379920.0 6573602.5,379917.5 6573604.4,379914.6 6573606.0,379911.2 6573607.1,379907.5 6573607.8,379903.7 6573608.1,379899.8 6573607.8,379896.1 6573607.1,379892.7 6573606.0,379889.8 6573604.4,379887.3 6573602.5,379885.5 6573600.3,379884.4 6573598.0,379884.0 6573595.5,379884.4 6573593.1,379885.5 6573590.8,379887.3 6573588.6,379889.8 6573586.7,379892.7 6573585.1,379896.1 6573584.0,379899.8 6573583.3,379903.7 6573583.0,379907.5 6573583.3,379911.2 6573584.0,379914.6 6573585.1,379917.5 6573586.7,379920.0 6573588.6,379921.8 6573590.8,379922.9 6573593.1,379923.3 6573595.5))"
2,379987.88,6573607.31,29.06,11.00,558.0,13667.9,"POLYGON((379992.0 6573597.3,379991.7 6573599.4,379991.1 6573601.4,379990.1 6573603.3,379988.7 6573604.9,379987.0 6573606.2,379985.1 6573607.2,379983.1 6573607.8,379980.9 6573608.0,379978.7 6573607.8,379976.7 6573607.2,379974.8 6573606.2,379973.1 6573604.9,379971.7 6573603.3,379970.7 6573601.4,379970.1 6573599.4,379969.8 6573597.3,379970.1 6573595.2,379970.7 6573593.2,379971.7 6573591.3,379973.1 6573589.7,379974.8 6573588.4,379976.7 6573587.4,379978.7 6573586.8,379980.9 6573586.6,379983.1 6573586.8,379985.1 6573587.4,379987.0 6573588.4,379988.7 6573589.7,379990.1 6573591.3,379991.1 6573593.2,379991.7 6573595.2,379992.0 6573597.3))"
3,380014.88,6573607.31,25.54,11.00,238.0,5025.2,"POLYGON((380012.8 6573593.6,380012.7 6573596.0,380012.1 6573598.3,380011.2 6573600.3,380010.0 6573602.2,380008.5 6573603.7,380006.8 6573604.8,380005.0 6573605.5,380003.1 6573605.7,380001.2 6573605.5,379999.4 6573604.8,379997.7 6573603.7,379996.2 6573602.2,379995.0 6573600.3,379994.1 6573598.3,379993.6 6573596.0,379993.4 6573593.6,379993.6 6573591.2,379994.1 6573589.0,379995.0 6573586.9,379996.2 6573585.0,379997.7 6573583.5,379999.4 6573582.4,380001.2 6573581.7,380003.1 6573581.5,380005.0 6573581.7,380006.8 6573582.4,380008.5 6573583.5,380010.0 6573585.0,380011.2 6573586.9,380012.1 6573589.0,380012.7 6573591.2,380012.8 6573593.6))"
4,380269.88,6573607.31,25.47,11.00,875.0,16208.7,"POLYGON((380281.2 6573584.1,380281.0 6573589.5,380280.3 6573594.8,380279.1 6573599.6,380277.6 6573603.8,380275.6 6573607.3,380273.5 6573609.9,380271.1 6573611.5,380268.6 6573612.0,380266.2 6573611.5,380263.8 6573609.9,380261.6 6573607.3,380259.7 6573603.8,380258.2 6573599.6,380257.0 6573594.8,380256.3 6573589.5,380256.0 6573584.1,380256.3 6573578.6,380257.0 6573573.4,380258.2 6573568.5,380259.7 6573564.3,380261.6 6573560.8,380263.8 6573558.3,380266.2 6573556.7,380268.6 6573556.1,380271.1 6573556.7,380273.5 6573558.3,380275.6 6573560.8,380277.6 6573564.3,380279.1 6573568.5,380280.3 6573573.4,380281.0 6573578.6,380281.2 6573584.1))"
5,380428.88,6573607.31,23.88,11.00,197.0,3980.3,"POLYGON((380436.6 6573601.6,380436.5 6573602.6,380436.1 6573603.5,380435.4 6573604.4,380434.6 6573605.1,380433.5 6573605.8,380432.3 6573606.2,380431.0 6573606.5,380429.7 6573606.6,380428.3 6573606.5,380427.0 6573606.2,380425.8 6573605.8,380424.7 6573605.1,380423.9 6573604.4,380423.2 6573603.5,380422.8 6573602.6,380422.7 6573601.6,380422.8 6573600.7,380423.2 6573599.7,380423.9 6573598.9,380424.7 6573598.1,380425.8 6573597.5,380427.0 6573597.0,380428.3 6573596.8,380429.7 6573596.7,380431.0 6573596.8,380432.3 6573597.0,380433.5 6573597.5,380434.6 6573598.1,380435.4 6573598.9,380436.1 6573599.7,380436.5 6573600.7,380436.6 6573601.6))"
6,380489.88,6573607.31,23.09,11.00,100.0,2122.5,"POLYGON((380495.7 6573604.7,380495.6 6573605.2,380495.2 6573605.7,380494.6 6573606.2,380493.9 6573606.6,380492.9 6573606.9,380491.9 6573607.2,380490.7 6573607.3,380489.5 6573607.4,380488.3 6573607.3,380487.1 6573607.2,380486.0 6573606.9,380485.1 6573606.6,380484.3 6573606.2,380483.7 6573605.7,380483.4 6573605.2,380483.3 6573604.7,380483.4 6573604.2,380483.7 6573603.7,380484.3 6573603.2,380485.1 6573602.8,380486.0 6573602.5,380487.1 6573602.2,380488.3 6573602.1,380489.5 6573602.0,380490.7 6573602.1,380491.9 6573602.2,380492.9 6573602.5,380493.9 6573602.8,380494.6 6573603.2,380495.2 6573603.7,380495.6 6573604.2,380495.7 6573604.7))"
7,380511.88,6573607.31,21.53,11.00,123.0,2261.5,"POLYGON((380514.8 6573602.8,380514.7 6573603.7,380514.5 6573604.6,380514.0 6573605.3,380513.4 6573606.0,380512.7 6573606.6,380511.9 6573607.0,380511.0 6573607.2,380510.0 6573607.3,380509.1 6573607.2,380508.2 6573607.0,380507.3 6573606.6,380506.6 6573606.0,380506.0 6573605.3,380505.5 6573604.6,380505.3 6573603.7,380505.2 6573602.8,380505.3 6573602.0,380505.5 6573601.1,380506.0 6573600.4,380506.6 6573599.7,380507.3 6573599.1,380508.2 6573598.7,380509.1 6573598.4,380510.0 6573598.4,380511.0 6573598.4,380511.9 6573598.7,380512.7 6573599.1,380513.4 6573599.7,380514.0 6573600.4,380514.5 6573601.1,380514.7 6573602.0,380514.8 6573602.8))"
8,380688.88,6573607.31,13.86,11.00,32.0,413.6,"POLYGON((380689.1 6573604.3,380689.0 6573605.0,380688.9 6573605.6,380688.7 6573606.1,380688.5 6573606.6,380688.2 6573607.0,380687.9 6573607.3,380687.5 6573607.5,380687.1 6573607.5,380686.8 6573607.5,380686.4 6573607.3,380686.1 6573607.0,380685.8 6573606.6,380685.5 6573606.1,380685.3 6573605.6,380685.2 6573605.0,380685.2 6573604.3,380685.2 6573603.7,380685.3 6573603.1,380685.5 6573602.6,380685.8 6573602.1,380686.1 6573601.7,380686.4 6573601.4,380686.8 6573601.2,380687.1 6573601.1,380687.5 6573601.2,380687.9 6573601.4,380688.2 6573601.7,380688.5 6573602.1,380688.7 6573602.6,380688.9 6573603.1,380689.0 6573603.7,380689.1 6573604.3))"
9,380709.88,6573607.31,16.82,11.00,150.0,2023.7,"POLYGON((380722.4 6573604.2,380722.2 6573604.9,380721.5 6573605.6,380720.5 6573606.3,380719.1 6573606.9,380717.4 6573607.4,380715.5 6573607.7,380713.3 6573608.0,380711.2 6573608.0,380709.0 6573608.0,380706.9 6573607.7,380704.9 6573607.4,380703.2 6573606.9,380701.8 6573606.3,380700.8 6573605.6,380700.1 6573604.9,380699.9 6573604.2,380700.1 6573603.4,380700.8 6573602.7,380701.8 6573602.0,380703.2 6573601.4,380704.9 6573600.9,380706.9 6573600.6,380709.0 6573600.4,380711.2 6573600.3,380713.3 6573600.4,380715.5 6573600.6,380717.4 6573600.9,380719.1 6573601.4,380720.5 6573602.0,380721.5 6573602.7,380722.2 6573603.4,380722.4 6573604.2))"
10,380311.88,6573605.31,21.32,11.00,100.0,1824.4,"POLYGON((380309.8 6573604.6,380309.7 6573605.1,380309.3 6573605.6,380308.7 6573606.0,380307.9 6573606.4,380306.8 6573606.8,380305.7 6573607.0,380304.4 6573607.2,380303.1 6573607.2,380301.7 6573607.2,380300.5 6573607.0,380299.3 6573606.8,380298.3 6573606.4,380297.4 6573606.0,380296.8 6573605.6,380296.4 6573605.1,380296.3 6573604.6,380296.4 6573604.1,380296.8 6573603.6,380297.4 6573603.2,380298.3 6573602.8,380299.3 6573602.4,380300.5 6573602.2,380301.7 6573602.1,380303.1 6573602.0,380304.4 6573602.1,380305.7 6573602.2,380306.8 6573602.4,380307.9 6573602.8,380308.7 6573603.2,380309.3 6573603.6,380309.7 6573604.1,380309.8 6573604.6))"
11,380585.88,6573605.31,25.45,11.00,155.0,2505.7,"POLYGON((380588.9 6573600.2,380588.8 6573601.4,380588.5 6573602.5,380588.1 6573603.5,380587.5 6573604.5,380586.8 6573605.2,380585.9 6573605.8,380585.1 6573606.1,380584.1 6573606.2,380583.2 6573606.1,380582.3 6573605.8,380581.5 6573605.2,380580.7 6573604.5,380580.2 6573603.5,380579.7 6573602.5,380579.4 6573601.4,380579.3 6573600.2,380579.4 6573599.0,380579.7 6573597.9,380580.2 6573596.8,380580.7 6573595.9,380581.5 6573595.2,380582.3 6573594.6,380583.2 6573594.3,380584.1 6573594.2,380585.1 6573594.3,380585.9 6573594.6,380586.8 6573595.2,380587.5 6573595.9,380588.1 6573596.8,380588.5 6573597.9,380588.8 6573599.0,380588.9 6573600.2))"
12,380674.88,6573605.31,14.16,11.00,253.0,3421.0,"POLYGON((380682.7 6573602.9,380682.4 6573603.7,380681.7 6573604.4,380680.4 6573605.1,380678.7 6573605.7,380676.6 6573606.2,380674.3 6573606.5,380671.7 6573606.7,380669.1 6573606.8,380666.4 6573606.7,380663.9 6573606.5,380661.5 6573606.2,380659.4 6573605.7,380657.8 6573605.1,380656.5 6573604.4,380655.7 6573603.7,380655.5 6573602.9,380655.7 6573602.2,380656.5 6573601.5,380657.8 6573600.8,380659.4 6573600.2,380661.5 6573599.7,380663.9 6573599.4,380666.4 6573599.2,380669.1 6573599.1,380671.7 6573599.2,380674.3 6573599.4,380676.6 6573599.7,380678.7 6573600.2,380680.4 6573600.8,380681.7 6573601.5,380682.4 6573602.2,380682.7 6573602.9))"
13,380569.88,6573604.31,18.34,11.00,91.0,1495.8,"POLYGON((380575.2 6573602.7,380575.1 6573603.6,380574.9 6573604.5,380574.5 6573605.3,380574.0 6573606.0,380573.4 6573606.6,380572.6 6573607.1,380571.9 6573607.4,380571.1 6573607.4,380570.3 6573607.4,380569.5 6573607.1,380568.8 6573606.6,380568.1 6573606.0,380567.6 6573605.3,380567.2 6573604.5,380567.0 6573603.6,380566.9 6573602.7,380567.0 6573601.7,380567.2 6573600.8,380567.6 6573600.0,380568.1 6573599.3,380568.8 6573598.7,380569.5 6573598.3,380570.3 6573598.0,380571.1 6573597.9,380571.9 6573598.0,380572.6 6573598.3,380573.4 6573598.7,380574.0 6573599.3,380574.5 6573600.0,380574.9 6573600.8,380575.1 6573601.7,380575.2 6573602.7))"
14,380789.88,6573604.31,21.68,11.00,406.0,5249.0,"POLYGON((380795.5 6573597.3,380795.3 6573599.4,380794.8 6573601.4,380794.0 6573603.3,380792.9 6573604.9,380791.6 6573606.3,380790.2 6573607.3,380788.6 6573607.9,380786.9 6573608.1,380785.2 6573607.9,380783.6 6573607.3,380782.1 6573606.3,380780.8 6573604.9,380779.7 6573603.3,380778.9 6573601.4,380778.5 6573599.4,380778.3 6573597.3,380778.5 6573595.2,380778.9 6573593.2,380779.7 6573591.3,380780.8 6573589.7,380782.1 6573588.3,380783.6 6573587.3,380785.2 6573586.7,380786.9 6573586.5,380788.6 6573586.7,380790.2 6573587.3,380791.6 6573588.3,380792.9 6573589.7,380794.0 6573591.3,380794.8 6573593.2,380795.3 6573595.2,380795.5 6573597.3))"
15,380732.88,6573603.31,17.74,11.00,580.0,7274.0,"POLYGON((380748.2 6573591.3,380748.0 6573594.1,380747.6 6573596.7,380746.9 6573599.2,380746.0 6573601.3,380744.8 6573603.1,380743.5 6573604.4,380742.0 6573605.2,380740.5 6573605.4,380739.1 6573605.2,380737.6 6573604.4,380736.3 6573603.1,380735.1 6573601.3,380734.2 6573599.2,380733.5 6573596.7,380733.0 6573594.1,380732.9 6573591.3,380733.0 6573588.6,380733.5 6573586.0,380734.2 6573583.5,380735.1 6573581.4,380736.3 6573579.6,380737.6 6573578.3,380739.1 6573577.5,380740.5 6573577.3,380742.0 6573577.5,380743.5 6573578.3,380744.8 6573579.6,380746.0 6573581.4,380746.9 6573583.5,380747.6 6573586.0,380748.0 6573588.6,380748.2 6573591.3))"
16,379824.88,6573600.31,28.77,11.00,255.0,5992.1,"POLYGON((379830.5 6573594.4,379830.4 6573596.1,379830.1 6573597.8,379829.5 6573599.3,379828.8 6573600.7,379828.0 6573601.8,379827.0 6573602.7,379826.0 6573603.2,379824.9 6573603.3,379823.8 6573603.2,379822.7 6573602.7,379821.8 6573601.8,379820.9 6573600.7,379820.2 6573599.3,379819.7 6573597.8,379819.4 6573596.1,379819.3 6573594.4,379819.4 6573592.6,379819.7 6573590.9,379820.2 6573589.4,379820.9 6573588.0,379821.8 6573586.9,379822.7 6573586.1,379823.8 6573585.5,379824.9 6573585.4,379826.0 6573585.5,379827.0 6573586.1,379828.0 6573586.9,379828.8 6573588.0,379829.5 6573589.4,379830.1 6573590.9,379830.4 6573592.6,379830.5 6573594.4))"
17,380341.88,6573600.31,22.63,11.00,346.0,6769.7,"POLYGON((380361.6 6573601.5,380361.3 6573602.8,380360.5 6573604.0,380359.1 6573605.2,380357.2 6573606.2,380354.9 6573607.0,380352.2 6573607.6,380349.4 6573608.0,380346.4 6573608.1,380343.5 6573608.0,380340.6 6573607.6,380338.0 6573607.0,380335.7 6573606.2,380333.8 6573605.2,380332.4 6573604.0,380331.5 6573602.8,380331.2 6573601.5,380331.5 6573600.3,380332.4 6573599.0,380333.8 6573597.9,380335.7 6573596.9,380338.0 6573596.1,380340.6 6573595.5,380343.5 6573595.1,380346.4 6573595.0,380349.4 6573595.1,380352.2 6573595.5,380354.9 6573596.1,380357.2 6573596.9,380359.1 6573597.9,380360.5 6573599.0,380361.3 6573600.3,380361.6 6573601.5))"
